match_id,team_id,scorrer_id,assist_id,goal_type
2577861,1003,197838,61560,Kopfball
2577861,1003,171424,61560,Kopfball
2577861,1003,171424,171424,Elfmeter
2577861,1003,61560,,Rechtsschuss
2577863,1123,129078,24589,Rechtsschuss
2577865,29,131978,8552,Rechtsschuss
2577865,29,8552,96341,Rechtsschuss
2577859,762,33952,170929,Brust
2577859,762,49499,43261,Kopfball
2577890,148,175722,69633,Kopfball
2577890,148,59631,192765,Rechtsschuss
2577888,289,248045,,Rechtsschuss
2577891,379,37647,66934,Rechtsschuss
2577887,281,26399,13091,Linksschuss
2577887,281,9594,35518,Kopfball
2577887,281,26267,35518,Rechtsschuss
2577886,31,50201,61651,Rechtsschuss
2577897,1123,67303,129078,Rechtsschuss
2577898,379,31835,31835,Elfmeter
2577898,379,66934,,Rechtsschuss
2577898,379,46831,92571,Rechtsschuss
2577902,1003,171424,197838,Linksschuss
2577900,289,3875,38497,Rechtsschuss
2577894,984,27614,80197,Rechtsschuss
2577894,984,27614,61711,Kopfball
2577939,989,123682,,Rechtsschuss
2577945,11,33713,35664,Rechtsschuss
2577945,11,82442,15799,Kopfball
2577944,2288,45403,90466,Kopfball
2577944,2288,22388,45403,Rechtsschuss
2577955,1003,55687,171424,Rechtsschuss
2577955,1003,197838,73491,Linksschuss
2577955,1003,37011,171424,Kopfball
2577950,29,12763,208244,Kopfball
2577950,29,12763,131978,Linksschuss
2577950,29,12763,131978,Rechtsschuss
2577956,1123,35855,24589,Rechtsschuss
2577956,1123,24589,,Linksschuss
2577956,1123,15921,45395,Linksschuss
2577953,1010,62121,65477,Rechtsschuss
2577958,985,12282,44068,Linksschuss
2577958,985,99343,99343,Elfmeter
2577958,985,182877,14086,Rechtsschuss
2577954,379,37647,31835,Rechtsschuss
2577954,379,37647,,Rechtsschuss
2577960,631,157509,8806,Kopfball
2577960,631,215118,50202,Eigentor
2577962,762,60744,46001,Rechtsschuss
2577968,989,123682,44983,Rechtsschuss
2577968,989,92469,,Linksschuss
2577965,281,88755,26399,Rechtsschuss
2577972,148,91845,69633,Linksschuss
2577969,148,175722,,Rechtsschuss
2577969,148,42710,111630,Kopfball
2577969,148,132098,69633,Rechtsschuss
2577969,148,111630,241119,Linksschuss
2577966,180,29594,,Rechtsschuss
2577966,180,29594,200512,Kopfball
2577970,512,3306,41384,Rechtsschuss
2577970,512,62049,3881,Kopfball
2577961,31,3333,80444,Linksschuss
2577961,31,47082,3333,Linksschuss
2577961,31,47082,80444,Rechtsschuss
2577971,1003,197838,73491,Rechtsschuss
2577971,1003,197838,54890,Rechtsschuss
2577976,180,139208,181579,Kopfball
2577976,180,36139,29594,Linksschuss
2577976,180,200512,,Rechtsschuss
2577977,985,167850,44068,Rechtsschuss
2577977,985,3332,182877,Abstauber
2577977,985,44068,14086,Linksschuss
2577967,762,246968,30670,Rechtsschuss
2577967,762,49499,246968,Kopfball
2577986,984,128897,27614,Rechtsschuss
2577986,984,121477,36814,Kopfball
2577994,873,75471,29434,Kopfball
2577994,873,29434,145988,Elfmeter
2577978,289,35099,60573,Linksschuss
2577978,289,38497,60573,Rechtsschuss
2577979,1123,44624,45395,Rechtsschuss
2577981,989,45693,92469,Kopfball
2577975,631,52769,,Direkter Freistoß
2577989,29,96341,,Linksschuss
2578001,2288,45403,77932,Kopfball
2578001,2288,132098,71292,Eigentor
2577982,281,134425,81808,Rechtsschuss
2577982,281,81808,,Linksschuss
2577982,281,134425,88755,Rechtsschuss
2577982,281,134425,,Rechtsschuss
2577982,281,81808,15956,Linksschuss
2577983,180,33829,36139,Kopfball
2577983,180,139208,,Linksschuss
2577991,631,44779,52769,Rechtsschuss
2577991,631,9619,44779,Eigentor
2577992,873,29434,,Elfmeter
