match_id,team_id,kicker_id,gk_id,gk,kicker
2698008,29,13507,3146,Shay Given,Leighton Baines
3050428,989,91059,45026,Rui Patrício,Joshua King
2698010,1003,171424,29692,Lukasz Fabianski,Riyad Mahrez
2578014,281,46156,29712,John Ruddy,Aleksandar Kolarov
2872361,762,81999,192080,Nick Pope,Joselu
2578196,180,200512,50219,Simon Mignolet,Sadio Mané
2872461,281,363205,29692,Lukasz Fabianski,Gabriel Jesus
3219292,543,134425,45026,Rui Patrício,Raheem Sterling
2698377,2288,41384,29692,Lukasz Fabianski,Marko Arnautovic
2872266,873,50201,33873,Asmir Begovic,Christian Benteke
2578095,405,171424,49319,Mark Bunn,Riyad Mahrez
2872372,985,40433,48870,Jonas Lössl,Alexis Sánchez
3420840,631,102017,105470,Alisson,Jorginho
3219267,379,292417,29692,Lukasz Fabianski,Demarai Gray
3420839,405,156941,111873,Emiliano Martínez,John Lundstram
3050453,148,58864,17965,Hugo Lloris,Pierre-Emerick Aubameyang
2698096,3008,40433,2857,Eldin Jakupovic,Alexis Sánchez
2698378,180,36139,2857,Eldin Jakupovic,Dusan Tadic
3050242,31,171424,105470,Alisson,Riyad Mahrez
2698007,873,29434,15220,Artur Boruc,Yohan Cabaye
3219160,1003,217115,16911,Kasper Schmeichel,Neal Maupay
2872169,1003,197838,50219,Simon Mignolet,Jamie Vardy
3050452,985,122153,201574,Angus Gunn,Paul Pogba
2577894,984,27614,108390,Thibaut Courtois,James Morrison
2578040,984,15799,3838,Boaz Myhill,Santi Cazorla
3050350,931,290951,48870,Jonas Lössl,Aboubakar Kamara
2872182,512,128897,52570,Fraser Forster,Saido Berahino
3050251,29,74300,130164,Jordan Pickford,Luka Milivojevic
2578238,984,128897,19059,Heurelho Gomes,Saido Berahino
2578238,984,128897,19059,Heurelho Gomes,Saido Berahino
2698202,379,31835,34130,Tom Heaton,Mark Noble
3050465,762,92469,130164,Jordan Pickford,Matt Ritchie
2872287,1237,45693,192080,Nick Pope,Glenn Murray
2872291,281,363205,17965,Hugo Lloris,Gabriel Jesus
2698385,31,3333,52570,Fraser Forster,James Milner
2872492,2288,86792,29692,Lukasz Fabianski,Xherdan Shaqiri
2872289,29,3332,29692,Lukasz Fabianski,Wayne Rooney
3050263,985,122153,130164,Jordan Pickford,Paul Pogba
3219094,543,122153,45026,Rui Patrício,Paul Pogba
2698434,985,4,15220,Artur Boruc,Zlatan Ibrahimović
2698369,281,171424,19948,Willy Caballero,Riyad Mahrez
3219245,1010,65477,195488,Paulo Gazzaniga,Troy Deeney
3050168,989,123682,61694,Neil Etheridge,Callum Wilson
3421719,762,240306,99397,Karl Darlow,Bruno Fernandes
3421720,350,4,427568,Aaron Ramsdale,Aleksandar Mitrović
2698400,641,37304,39471,Brad Guzan,Shane Long
3219432,985,258923,64399,Vicente Guaita,Marcus Rashford
2698116,148,111630,40423,Claudio Bravo,Erik Lamela
2872303,379,45403,39037,Rob Elliot,André Ayew
