match_id,team_id,player_in_id,player_out_id
2577861,1003,50477,55687
2577861,1003,6636,171424
2577861,1003,225083,197838
2577863,1123,35855,35413
2577863,1123,129078,12384
2577863,1123,42513,36608
2577865,29,8552,208244
2577865,29,124983,33639
2577865,29,12763,96341
2577859,762,33478,30670
2577859,762,4,33952
2577859,762,45509,49499
2577862,11,33713,74869
2577862,11,40433,27306
2577866,984,45330,85935
2577866,984,39532,49655
2577866,984,61711,128897
2577885,405,39908,31552
2577885,405,51226,164771
2577884,180,66100,36139
2577884,180,53360,37304
2577884,180,181579,28973
2577890,148,111630,132098
2577890,148,245537,61834
2577888,289,29152,31720
2577888,289,248045,35099
2577891,379,101213,314295
2577891,379,135853,66934
2577891,379,46831,26456
2577892,1010,9966,58576
2577892,1010,129554,28261
2577887,281,18935,15956
2577887,281,2963,134425
2577887,281,81808,26399
2577899,985,3878,2514
2577899,985,50935,177847
2577899,985,33544,54906
2577886,31,119296,61651
2577886,31,131789,195652
2577886,31,207917,80444
2577897,1123,49327,24589
2577897,1123,3995,45395
2577898,379,61592,48002
2577898,379,15921,3950
2577898,379,46831,120610
2577902,1003,225083,61560
2577902,1003,19041,73491
2577902,1003,54890,171424
2577900,289,35099,29152
2577900,289,248045,3875
2577900,289,31720,38497
2577894,984,49655,85935
2577894,984,159471,61711
2577894,984,37171,27614
2577896,29,156934,208244
2577896,29,12763,8552
2577896,29,129476,73484
2577893,11,33713,82442
2577893,11,143424,74869
2577946,762,246968,30670
2577946,762,33952,46001
2577946,762,45509,184892
2577939,989,253677,61819
2577939,989,61841,253677
2577939,989,36939,28140
2577941,512,30456,3881
2577941,512,41384,86792
2577941,512,34838,62049
2577947,31,207917,119296
2577947,31,134294,131789
2577947,31,195652,256178
2577945,11,82442,33713
2577945,11,7451,40433
2577945,11,143424,35664
2577944,2288,81796,14066
2577944,2288,84481,22388
2577944,2288,67421,71292
2577955,1003,37011,79642
2577955,1003,225083,19041
2577955,1003,54890,61560
2577950,29,12763,93905
2577950,29,14221,8552
2577950,29,11111,68390
2577952,873,196522,46791
2577952,873,28336,75471
2577952,873,81801,47995
2577956,1123,36608,24589
2577956,1123,38073,15921
2577956,1123,44624,35855
2577953,1010,14081,9966
2577953,1010,129554,62121
2577953,1010,23197,65477
2577957,984,128897,49655
2577957,984,85935,61711
2577957,984,25248,42412
2577958,985,14086,167850
2577958,985,182877,44068
2577958,985,56818,3878
2577951,289,37363,39010
2577951,289,248045,96754
2577951,289,57079,36500
2577954,379,126321,48002
2577954,379,101213,135853
2577954,379,48066,59866
2577960,631,54170,85314
2577960,631,45121,44779
2577960,631,30739,8806
2577959,405,39908,31552
2577959,405,126014,127987
2577959,405,164771,51226
2577962,762,45509,33952
2577962,762,258188,170929
2577962,762,43261,184892
2577968,989,61583,104586
2577968,989,45693,123682
2577968,989,61841,92469
2577965,281,2963,90681
2577965,281,81808,134425
2577965,281,295330,46156
2577972,148,69633,59631
2577972,148,241119,91845
2577972,148,121279,111630
2577969,148,59631,69633
2577969,148,241119,91845
2577969,148,121279,111630
2577966,180,91251,250478
2577966,180,28973,66100
2577966,180,37304,181579
2577970,512,15760,86792
2577970,512,62049,44675
2577970,512,147034,28990
2577961,31,51452,47082
2577971,1003,56872,79642
2577971,1003,54890,61560
2577971,1003,46580,73491
2577976,180,66100,28973
2577976,180,53360,36139
2577976,180,126737,200512
2577977,985,2514,3878
2577977,985,117996,12282
2577977,985,14086,167850
2577967,762,43261,61644
2577967,762,251664,4
2577967,762,45509,46001
2577985,1010,129554,9966
2577985,1010,177476,111508
2577985,1010,92141,14081
2577986,984,73482,25248
2577986,984,37171,80197
2577986,984,49655,45330
2577994,873,42411,196522
2577994,873,34409,145988
2577978,289,31720,36500
2577978,289,57079,35099
2577978,289,39010,60573
2577979,1123,129078,36608
2577979,1123,44624,15921
2577979,1123,36884,35855
2577980,405,203460,4241
2577980,405,108354,31552
2577980,405,127987,91317
2577981,989,61841,36939
2577981,989,61583,91059
2577975,631,74683,54170
2577975,631,65278,52769
2577975,631,45121,74683
2577989,29,14221,129476
2577989,29,8552,12763
2578001,2288,189070,90466
2578001,2288,40613,71292
2577993,148,241119,59631
2577993,148,61842,111630
2577982,281,51174,13091
2577982,281,18935,88755
2577982,281,295330,134425
2577983,180,81789,112988
2577983,180,104223,28973
2577983,180,53360,36139
2577984,29,8552,12763
2577984,29,129476,14221
2577991,631,74683,202886
2577991,631,50202,65278
2577991,631,45121,52769
2577992,873,46791,145988
2577992,873,28336,41416
2577992,873,34409,29434
2577990,1010,129554,111508
2577990,1010,92141,9966
2577990,1010,100507,107427
2578004,405,127987,203460
2578004,405,204103,37148
2577999,512,30456,31642
2577999,512,3306,86792
2577999,512,4072,81999
2578005,1003,79642,61560
2578005,1003,37011,171424
2578006,379,48066,26456
2578006,379,101213,135853
2578006,379,48002,31835
2578002,11,17396,143424
2578002,11,44792,40433
2578000,31,50201,148368
2578000,31,131789,43530
2578000,31,195652,80444
2577996,989,61583,91059
2577996,989,57410,45693
2577996,989,61841,36939
2577998,985,141660,44068
2577998,985,39679,2514
2577998,985,54906,33544
2578010,873,28336,29434
2578013,2288,189070,77932
2578013,2288,40043,81796
2578013,2288,84481,22388
2578012,984,27614,45330
2578012,984,49655,128897
2578012,984,61711,36814
2578015,762,45509,33478
2578015,762,183318,60744
2578011,148,61834,19368
2578011,148,192765,50174
2578011,148,243589,207929
2578020,1010,100507,107427
2578020,1010,21905,9966
2578020,1010,74768,62121
2578009,29,208244,124983
2578009,29,33639,129476
2578009,29,3620,96341
2578017,180,81789,33829
2578017,180,66100,104223
2578017,180,181579,36139
2578024,989,57410,91059
2578024,989,104586,87672
2578024,989,198495,55742
2578027,289,96754,36500
2578027,289,57079,35099
2578027,289,3875,39010
2578022,1003,79642,157506
2578022,1003,37011,171424
2578022,1003,56872,73491
2578023,379,139503,37647
2578023,379,26456,139503
2578023,379,25742,48066
2578033,985,117996,14086
2578033,985,258879,93176
2578033,985,99343,3332
2578021,31,37838,47713
2578021,31,131789,119296
2578021,31,148368,195652
2578034,1123,44624,35855
2578034,1123,45272,24589
2578036,512,31642,44675
2578036,512,15760,28990
2578036,512,62049,86792
2578016,405,22165,127987
2578016,405,126014,31552
2578016,405,39908,108354
2578018,11,17396,15799
2578018,11,44792,131248
2578018,11,7451,27306
2578038,1010,177476,28261
2578038,1010,100507,111508
2578025,631,85314,65278
2578025,631,54170,52769
2578025,631,57500,50202
2578029,180,200512,104223
2578029,180,181579,28973
2578029,180,126737,112988
2578040,984,37171,37157
2578040,984,128897,80197
2578040,984,49655,27614
2578042,29,3620,131978
2578042,29,33639,129476
2578042,29,42413,45333
2578045,148,61834,207929
2578045,148,243589,91845
2578045,148,121279,132098
2578030,405,204103,127987
2578030,405,39908,126665
2578044,148,111630,61834
2578044,148,241119,91845
2578032,989,61841,90836
2578032,989,111073,4233
2578032,989,45693,55742
2578041,281,81808,26399
2578041,281,51174,50362
2578041,281,35518,134425
2578043,873,28336,145988
2578043,873,81801,29434
2578043,873,183334,95435
2578031,1003,54890,79642
2578031,1003,157506,61560
2578031,1003,55687,37442
2578050,379,48066,101213
2578050,379,25742,120610
2578050,379,104124,26456
2578039,1123,129078,45395
2578039,1123,35855,35413
2578039,1123,38388,24589
2578055,31,61651,131789
2578055,31,47082,50201
2578055,31,3202,195652
2578067,512,81999,44675
2578067,512,147034,86792
2578067,512,3306,15760
2578047,985,3878,56818
2578047,985,188862,167268
2578047,985,167850,2514
2578049,180,66100,77760
2578049,180,126737,36139
2578049,180,37304,200512
2578051,11,33713,143424
2578051,11,44792,131248
2578051,11,215118,82442
2578054,2288,77932,14066
2578054,2288,189070,40043
2578054,2288,40613,81796
2578053,631,44779,85314
2578053,631,45121,8806
2578053,631,131996,224884
2578048,29,13507,208244
2578063,873,57207,47995
2578063,873,19085,95435
2578059,281,50362,134425
2578059,281,88755,35518
2578059,281,295330,81808
2578061,289,57079,255916
2578061,289,31579,96754
2578061,289,3875,35099
2578066,379,139503,27394
2578066,379,25742,104124
2578057,989,45693,91059
2578057,989,61583,55742
2578062,405,127987,39908
2578062,405,203460,126665
2578062,405,204103,31552
2578060,31,195652,80444
2578060,31,148368,37838
2578060,31,131789,43530
2578074,148,91845,121279
2578074,148,59631,111630
2578065,1003,56872,73491
2578065,1003,19041,171424
2578065,1003,79642,197838
2578068,29,14221,129476
2578068,29,33639,8552
2578070,631,30739,8806
2578070,631,45121,44779
2578070,631,54170,85314
2578072,512,3306,12124
2578072,512,28990,147034
2578073,984,37157,27614
2578073,984,49655,36814
2578073,984,128897,3547
2578078,985,99343,39679
2578082,180,37304,28973
2578082,180,126737,36139
2578082,180,181579,104223
2578079,762,4,33952
2578079,762,246968,45509
2578079,762,184892,30670
2578076,1010,107427,28261
2578076,1010,21905,9966
2578076,1010,74768,62121
2578064,11,44792,131248
2578064,11,143424,35664
2578064,11,215118,33713
2578086,512,147034,12124
2578086,512,62049,86792
2578086,512,28990,31642
2578075,281,9594,54781
2578075,281,50362,13091
2578075,281,2963,9594
2578080,631,30739,8806
2578080,631,50202,65278
2577943,180,53360,28973
2577943,180,91251,112988
2577943,180,126737,200512
2577987,281,15956,134425
2577987,281,81808,26399
2577987,281,295330,35518
2578007,2288,81796,40613
2578007,2288,90466,189070
2578007,2288,84481,45403
2578037,281,26267,13091
2578037,281,50362,15956
2578037,281,295330,26399
2578056,762,246968,45509
2578056,762,23825,61644
2578056,762,184892,33952
2578069,1123,67252,128912
2578069,1123,45395,24589
2578077,31,50201,148368
2578077,31,41414,80444
2578077,31,51452,43530
2578087,148,121279,69633
2578087,148,91845,207929
2578087,148,59631,19368
2578083,180,66100,104223
2578083,180,36139,181579
2578083,180,126737,200512
2578138,873,81801,95435
2578138,873,42411,57207
2578153,148,59631,111630
2578153,148,61834,91845
2578153,148,243589,132098
2578165,379,314295,12691
2578165,379,48066,120630
2578165,379,120610,135853
2578279,11,50057,242631
2578279,11,82442,67063
2578279,11,33713,160438
2698093,1132,148262,33866
2698093,1132,55291,89231
2698093,1132,183334,120565
2698090,289,103565,307781
2698090,289,210081,248045
2698090,289,277114,49734
2698098,873,36861,61592
2698098,873,17396,34409
2698098,873,81801,61842
2698100,148,111630,19368
2698100,148,192765,175722
2698100,148,207015,132098
2698110,985,3878,141660
2698110,985,3332,258923
2698110,985,14086,44068
2698113,641,48950,18644
2698113,641,204103,123742
2698113,641,121257,73067
2698108,11,111455,74869
2698108,11,44792,242631
2698108,11,82442,40433
2698117,2288,189070,14066
2698117,2288,81796,40043
2698117,2288,171260,63342
2698125,3008,9508,93145
2698125,3008,76608,122011
2698125,3008,13465,122223
2698156,2288,35564,14066
2698168,1003,197838,174915
2698168,1003,292417,168337
2698168,1003,214056,56872
2698140,281,295330,88755
2698140,281,15956,9594
2698140,281,70934,192565
2698141,1010,60744,27114
2698141,1010,37941,55619
2698141,1010,81512,37981
2698143,873,61842,81801
2698143,873,47995,34409
2698143,873,42411,41416
2698154,31,49499,200512
2698154,31,47082,43530
2698154,31,337284,80444
2698160,3008,44624,76608
2698160,3008,22614,118535
2698160,3008,13465,177907
2698175,1003,197838,79642
2698175,1003,292417,168337
2698175,1003,54890,2998
2698144,512,3881,15773
2698144,512,4072,81808
2698144,512,3306,44675
2698137,289,31720,4321
2698137,289,49734,277114
2698137,289,162029,248045
2698166,873,46791,61842
2698166,873,17396,41416
2698166,873,78959,61592
