,team_id,season_id,league_id,team_income_fee,team_expenditure_fee,overall_balance_fee
0,631,2015,2,87490000,96500000,-9010000
1,281,2015,2,67440000,208470000,-141030000
2,11,2015,2,2500000,26500000,-24000000
3,985,2015,2,100670000,156000000,-55330000
4,148,2015,2,87250000,71000000,16250000
5,31,2015,2,90550000,126500000,-35950000
6,180,2015,2,52700000,60100000,-7400000
7,2288,2015,2,16810000,21810000,-5000000
8,512,2015,2,23200000,53650000,-30450000
9,873,2015,2,5400000,28800000,-23400000
10,29,2015,2,11000000,48200000,-37200000
11,379,2015,2,18520000,52700000,-34180000
12,984,2015,2,12920000,42900000,-29980000
13,1003,2015,2,9450000,49900000,-40450000
14,762,2015,2,5630000,107910000,-102280000
15,289,2015,2,11000000,66050000,-55050000
16,405,2015,2,64700000,66550000,-1850000
17,989,2015,2,650000,55110000,-54460000
18,1010,2015,2,9750000,82800000,-73050000
19,1123,2015,2,21490000,50500000,-29010000
20,131,2015,3,38300000,51000000,-12700000
21,418,2015,3,31650000,92900000,-61250000
22,13,2015,3,152000000,119000000,33000000
23,1049,2015,3,50000000,143900000,-93900000
24,368,2015,3,61450000,44000000,17450000
25,1050,2015,3,37560000,47200000,-9640000
26,621,2015,3,0,10000000,-10000000
27,940,2015,3,18500000,16300000,2200000
28,1084,2015,3,46800000,8650000,38150000
29,714,2015,3,15200000,4450000,10750000
30,367,2015,3,0,400000,-400000
31,681,2015,3,1000000,26100000,-25100000
32,3368,2015,3,0,6550000,-6550000
33,3709,2015,3,4100000,270000,3830000
34,16795,2015,3,11170000,3850000,7320000
35,1533,2015,3,0,3700000,-3700000
36,472,2015,3,0,6400000,-6400000
37,2448,2015,3,0,0,0
38,150,2015,3,1050000,8850000,-7800000
39,27,2015,4,33000000,90750000,-57750000
40,82,2015,4,111300000,68100000,43200000
41,18,2015,4,15700000,38000000,-22300000
42,15,2015,4,63250000,58000000,5250000
43,167,2015,4,26900000,16700000,10200000
44,33,2015,4,57200000,37100000,20100000
45,16,2015,4,42550000,20000000,22550000
46,533,2015,4,57150000,23400000,33750000
47,24,2015,4,12100000,11820000,280000
48,86,2015,4,19450000,12880000,6570000
49,39,2015,4,34200000,13850000,20350000
50,3,2015,4,13050000,14780000,-1730000
51,42,2015,4,13500000,18400000,-4900000
52,79,2015,4,20550000,15670000,4880000
