player_id,season_id,left_team,joined_team,fee_of_transfer
65278,2015,FC Barcelona,FC Chelsea,27000000.0
224884,2015,FC Augsburg,FC Chelsea,26000000.0
33873,2015,Stoke City,FC Chelsea,11000000.0
281404,2015,Fluminense Rio de Janeiro,FC Chelsea,8000000.0
39152,2015,AS Monaco,FC Chelsea,7000000.0
157490,2015,FC Reading,FC Chelsea,5400000.0
245893,2015,New York Red Bulls,FC Chelsea,4600000.0
294798,2015,Clube Atlético Paranaense,FC Chelsea,4000000.0
136610,2015,FC Nantes,FC Chelsea,3500000.0
222830,2015,FK Partizan Belgrad,FC Chelsea,0.0
37579,2015,Corinthians São Paulo,FC Chelsea,1.0
59866,2015,West Ham United,FC Chelsea,-1.0
157490,2015,FC Reading,FC Chelsea,-1.0
183334,2015,Norwich City,FC Chelsea,-1.0
108820,2015,Vitória Setúbal FC,FC Chelsea,-1.0
35251,2015,RSC Anderlecht,FC Chelsea,-1.0
181779,2015,Vitesse Arnheim,FC Chelsea,-1.0
102226,2015,Borussia Mönchengladbach,FC Chelsea,-1.0
186863,2015,Club Universidad de Chile,FC Chelsea,-1.0
205938,2015,FC Elche,FC Chelsea,-1.0
176485,2015,Eintracht Frankfurt,FC Chelsea,-1.0
74297,2015,Rayo Vallecano,FC Chelsea,-1.0
66100,2015,VfB Stuttgart,FC Chelsea,-1.0
186997,2015,FC Everton,FC Chelsea,-1.0
128905,2015,Vitesse Arnheim,FC Chelsea,-1.0
147034,2015,AC Mailand,FC Chelsea,-1.0
176485,2015,FC Reading,FC Chelsea,-1.0
148455,2015,AC Florenz,FC Chelsea,-1.0
60220,2015,FK Sarajevo,FC Chelsea,-1.0
186997,2015,AFC Bournemouth,FC Chelsea,-1.0
147034,2015,Stoke City,FC Chelsea,-1.0
148657,2015,FC Middlesbrough,FC Chelsea,-1.0
183334,2015,Crystal Palace,FC Chelsea,-1.0
181779,2015,Carpi FC 1909,FC Chelsea,-1.0
131996,2015,Vitesse Arnheim,FC Chelsea,-1.0
177476,2015,FC Watford,FC Chelsea,-1.0
54170,2015,FC Chelsea,Jiangsu Suning,28000000.0
21725,2015,FC Chelsea,Atlético Madrid,16000000.0
5658,2015,FC Chelsea,FC Arsenal,14000000.0
102226,2015,FC Chelsea,Borussia Mönchengladbach,8000000.0
66100,2015,FC Chelsea,FC Southampton,7000000.0
74297,2015,FC Chelsea,FC Sevilla,6000000.0
148455,2015,FC Chelsea,AS Rom,5000000.0
91970,2015,FC Chelsea,Juventus Turin,1800000.0
128905,2015,FC Chelsea,FC Brentford,1040000.0
136610,2015,FC Chelsea,SV Werder Bremen,400000.0
128900,2015,FC Chelsea,SSC Neapel,250000.0
108820,2015,FC Chelsea,Santos Laguna,0.0
3924,2015,FC Chelsea,Montreal Impact,0.0
198589,2015,FC Chelsea,Vitesse Arnheim,1.0
196948,2015,FC Chelsea,Borussia Mönchengladbach,1.0
147034,2015,FC Chelsea,Stoke City,1.0
35251,2015,FC Chelsea,Trabzonspor,1.0
128898,2015,FC Chelsea,Östersunds FK,1.0
222830,2015,FC Chelsea,Vitesse Arnheim,1.0
157490,2015,FC Chelsea,FC Reading,1.0
131708,2015,FC Chelsea,Kasimpasa,1.0
59866,2015,FC Chelsea,West Ham United,1.0
60220,2015,FC Chelsea,FK Sarajevo,1.0
108820,2015,FC Chelsea,Vitória Setúbal FC,1.0
186863,2015,FC Chelsea,VV St. Truiden,1.0
154287,2015,FC Chelsea,NEC Nijmegen,1.0
177476,2015,FC Chelsea,FC Watford,1.0
176485,2015,FC Chelsea,FC Reading,1.0
181779,2015,FC Chelsea,Carpi FC 1909,1.0
183334,2015,FC Chelsea,Crystal Palace,1.0
205938,2015,FC Chelsea,AS Monaco,1.0
186997,2015,FC Chelsea,AFC Bournemouth,1.0
181779,2015,FC Chelsea,Grêmio Porto Alegre,1.0
186997,2015,FC Chelsea,FC Málaga,1.0
183334,2015,FC Chelsea,Norwich City,1.0
147034,2015,FC Chelsea,PSV Eindhoven,1.0
294798,2015,FC Chelsea,Vitesse Arnheim,1.0
88755,2015,VfL Wolfsburg,Manchester City,76000000.0
134425,2015,FC Liverpool,Manchester City,63700000.0
54781,2015,FC Valencia,Manchester City,44500000.0
50362,2015,Aston Villa,Manchester City,11500000.0
225452,2015,FC Fulham,Manchester City,7200000.0
251106,2015,Bursaspor,Manchester City,4400000.0
85383,2015,SD Ponferradina,Manchester City,550000.0
226739,2015,Central Coast Mariners,Manchester City,320000.0
127108,2015,FC Girona,Manchester City,300000.0
114365,2015,Brisbane Roar,Manchester City,0.0
277114,2015,Celtic Glasgow,Manchester City,-1.0
182579,2015,PSV Eindhoven,Manchester City,-1.0
32617,2015,AC Florenz,Manchester City,-1.0
18644,2015,FC Valencia,Manchester City,-1.0
114365,2015,Bolton Wanderers,Manchester City,-1.0
143559,2015,FC Schalke 04,Manchester City,-1.0
31552,2015,Aston Villa,Manchester City,-1.0
115507,2015,FC Middlesbrough,Manchester City,-1.0
115507,2015,FC Córdoba,Manchester City,-1.0
174694,2015,LOSC Lille,Manchester City,-1.0
251106,2015,KRC Genk,Manchester City,-1.0
18644,2015,Manchester City,FC Valencia,28000000.0
174694,2015,Manchester City,AS Monaco,12000000.0
143559,2015,Manchester City,FC Schalke 04,9500000.0
182579,2015,Manchester City,Olympique Marseille,5000000.0
28396,2015,Manchester City,AS Rom,4000000.0
31552,2015,Manchester City,Aston Villa,3500000.0
46104,2015,Manchester City,Inter Mailand,2500000.0
88262,2015,Manchester City,Celtic Glasgow,2000000.0
195605,2015,Manchester City,UD Almería,500000.0
277114,2015,Manchester City,Galatasaray,436000.0
3333,2015,Manchester City,FC Liverpool,0.0
186292,2015,Manchester City,Bristol Rovers,0.0
32617,2015,Manchester City,Aston Villa,0.0
98596,2015,Manchester City,Celta Vigo,0.0
114365,2015,Manchester City,Bolton Wanderers,1.0
251106,2015,Manchester City,NAC Breda,1.0
127108,2015,Manchester City,FC Girona,1.0
115507,2015,Manchester City,AEK Athen,1.0
225452,2015,Manchester City,Celtic Glasgow,1.0
226739,2015,Manchester City,Melbourne City FC,1.0
85383,2015,Manchester City,FC Girona,1.0
384807,2015,Manchester City,FC Twente Enschede,1.0
115507,2015,Manchester City,FC Middlesbrough,1.0
251106,2015,Manchester City,KRC Genk,1.0
3163,2015,Manchester City,New York City FC,-1.0
160438,2015,FC Basel 1893,FC Arsenal,12500000.0
159471,2015,West Bromwich Albion,FC Arsenal,-1.0
111873,2015,Wolverhampton Wanderers,FC Arsenal,-1.0
197642,2015,Hull City,FC Arsenal,-1.0
121990,2015,Bolton Wanderers,FC Arsenal,-1.0
127194,2015,Ajax Amsterdam,FC Arsenal,-1.0
126321,2015,West Ham United,FC Arsenal,-1.0
