,player_name,season,market_value
0,Fraser Forster,2015,"15,00 Mio. €"
1,Maarten Stekelenburg,2015,"1,00 Mio. €"
2,Paulo Gazzaniga,2015,"1,00 Mio. €"
3,Kelvin Davis,2015,250 Tsd. €
4,Virgil van Dijk,2015,"12,00 Mio. €"
5,Steven Caulker,2015,"7,50 Mio. €"
6,José Fonte,2015,"5,00 Mio. €"
7,Florin Gardos,2015,"5,00 Mio. €"
8,Maya Yoshida,2015,"4,00 Mio. €"
9,Cuco Martina,2015,"2,00 Mio. €"
10,Jack Stephens,2015,250 Tsd. €
11,Jordan Turnbull,2015,250 Tsd. €
12,Ryan Bertrand,2015,"14,00 Mio. €"
13,Matt Targett,2015,"3,00 Mio. €"
14,Sam McQueen,2015,-
15,Cédric Soares,2015,"11,00 Mio. €"
16,Jason McCarthy,2015,-
17,Victor Wanyama,2015,"15,00 Mio. €"
18,Jordy Clasie,2015,"11,00 Mio. €"
19,Oriol Romeu,2015,"5,00 Mio. €"
20,James Ward-Prowse,2015,"11,00 Mio. €"
21,Steven Davis,2015,"6,00 Mio. €"
22,Harrison Reed,2015,"1,50 Mio. €"
23,Gastón Ramírez,2015,"5,00 Mio. €"
24,Sadio Mané,2015,"20,00 Mio. €"
25,Dusan Tadic,2015,"15,00 Mio. €"
26,Juanmi,2015,"7,00 Mio. €"
27,Lloyd Isgrove,2015,250 Tsd. €
28,Jay Rodríguez,2015,"13,00 Mio. €"
29,Charlie Austin,2015,"13,00 Mio. €"
30,Graziano Pellè,2015,"11,00 Mio. €"
31,Shane Long,2015,"10,00 Mio. €"
32,Sam Gallagher,2015,500 Tsd. €
33,Ryan Seager,2015,-
34,Olufela Olomola,2015,-
35,Brad Guzan,2015,"3,00 Mio. €"
36,Mark Bunn,2015,750 Tsd. €
37,Jed Steer,2015,500 Tsd. €
38,Benjamin Siegrist,2015,250 Tsd. €
39,Bradley Watkins,2015,-
40,Jores Okore,2015,"5,00 Mio. €"
41,Ciaran Clark,2015,"4,50 Mio. €"
42,Tiago Ilori,2015,"4,00 Mio. €"
43,Nathan Baker,2015,"2,50 Mio. €"
44,Joleon Lescott,2015,"2,00 Mio. €"
45,Aly Cissokho,2015,"2,00 Mio. €"
46,José Crespo,2015,700 Tsd. €
47,Janoi Donacien,2015,250 Tsd. €
48,Kevin Toner,2015,-
49,Easah Suliman,2015,-
50,Niall Mason,2015,-
51,Jordan Amavi,2015,"10,00 Mio. €"
52,Kieran Richardson,2015,"1,50 Mio. €"
53,Joe Bennett,2015,"1,50 Mio. €"
54,Micah Richards,2015,"5,00 Mio. €"
55,Alan Hutton,2015,"2,00 Mio. €"
56,Jordan Veretout,2015,"8,00 Mio. €"
57,Carlos Sánchez,2015,"5,00 Mio. €"
58,Ashley Westwood,2015,"4,00 Mio. €"
59,Jordan Lyden,2015,-
60,Idrissa Gueye,2015,"9,00 Mio. €"
61,Leandro Bacuna,2015,"3,00 Mio. €"
62,Gary Gardner,2015,"2,00 Mio. €"
63,Jerell Sellars,2015,-
64,Carles Gil,2015,"4,00 Mio. €"
65,Joe Cole,2015,500 Tsd. €
66,Jack Grealish,2015,"4,50 Mio. €"
67,Scott Sinclair,2015,"3,50 Mio. €"
68,Andre Green,2015,-
69,Adama Traoré,2015,"8,00 Mio. €"
70,Charles N'Zogbia,2015,"1,00 Mio. €"
71,Corey Blackett-Taylor,2015,-
72,Jordan Ayew,2015,"7,50 Mio. €"
73,Rudy Gestede,2015,"7,00 Mio. €"
74,Gabriel Agbonlahor,2015,"3,00 Mio. €"
75,Libor Kozak,2015,"2,00 Mio. €"
76,Callum Robinson,2015,500 Tsd. €
77,Rushian Hepburn-Murphy,2015,-
78,Keinan Davis,2015,-
79,John Ruddy,2015,"3,00 Mio. €"
80,Declan Rudd,2015,"2,00 Mio. €"
81,Jake Kean,2015,750 Tsd. €
82,Remi Matthews,2015,100 Tsd. €
83,Timm Klose,2015,"5,00 Mio. €"
84,Sébastien Bassong,2015,"3,00 Mio. €"
85,Russell Martin,2015,"3,00 Mio. €"
86,Michael Turner,2015,"2,00 Mio. €"
87,Ryan Bennett,2015,"2,00 Mio. €"
88,Martin Olsson,2015,"3,50 Mio. €"
