url_id,match_id,home_team_id,away_team_id,home_team,away_team,result,matchday,match_date,home_goals,away_goals,home_substitutions,away_substitutions,home_cards,away_cards,statistics
2001,3421782,379,985,West Ham United,Manchester United,1:3,11,05.12.20,"[{'match_id': '3421782', 'scorrer_id': '283628', 'scorrer': 'Tomas Soucek', 'goal_type': 'Rechtsschuss', 'assist_id': '357662', 'assist': 'Declan Rice'}]","[{'match_id': '3421782', 'scorrer_id': '122153', 'scorrer': 'Paul Pogba', 'goal_type': 'Rechtsschuss', 'assist_id': '240306', 'assist': 'Bruno Fernandes'}, {'match_id': '3421782', 'scorrer_id': '532826', 'scorrer': 'Mason Greenwood', 'goal_type': 'Linksschuss', 'assist_id': '255755', 'assist': 'Alex Telles'}, {'match_id': '3421782', 'scorrer_id': '258923', 'scorrer': 'Marcus Rashford', 'goal_type': 'Rechtsschuss', 'assist_id': '44068', 'assist': 'Juan Mata'}]","[{'match_id': '3421782', 'player_in_id': '135853', 'player_in': 'Manuel Lanzini', 'player_out_id': '357885', 'player_out': 'Pablo Fornals'}, {'match_id': '3421782', 'player_in_id': '290532', 'player_in': 'Saïd Benrahma', 'player_out_id': '314875', 'player_out': 'Jarrod Bowen'}, {'match_id': '3421782', 'player_in_id': '468002', 'player_in': 'Ben Johnson', 'player_out_id': '157672', 'player_out': 'Vladimir Coufal'}]","[{'match_id': '3421782', 'player_in_id': '240306', 'player_in': 'Bruno Fernandes', 'player_out_id': '288255', 'player_out': 'Donny van de Beek'}, {'match_id': '3421782', 'player_in_id': '258923', 'player_in': 'Marcus Rashford', 'player_out_id': '48280', 'player_out': 'Edinson Cavani'}, {'match_id': '3421782', 'player_in_id': '44068', 'player_in': 'Juan Mata', 'player_out_id': '182877', 'player_out': 'Anthony Martial'}]",[],[],"{'home_total_shots': '19', 'away_total_shots': '15', 'home_shots_off_target': '9', 'away_shots_off_target': '6', 'home_shots_saved': '3', 'away_shots_saved': '5', 'home_corners': '5', 'away_corners': '4', 'home_freekicks': '9', 'away_freekicks': '9', 'home_fouls': '9', 'away_fouls': '10', 'home_offsides': '4', 'away_offsides': '3'}"
2002,3421776,631,399,FC Chelsea,Leeds United,3:1,11,05.12.20,"[{'match_id': '3421776', 'scorrer_id': '82442', 'scorrer': 'Olivier Giroud', 'goal_type': 'Linksschuss', 'assist_id': '472423', 'assist': 'Reece James'}, {'match_id': '3421776', 'scorrer_id': '157509', 'scorrer': 'Kurt Zouma', 'goal_type': 'Kopfball', 'assist_id': '346483', 'assist': 'Mason Mount'}, {'match_id': '3421776', 'scorrer_id': '315779', 'scorrer': 'Christian Pulisic', 'goal_type': 'Linksschuss', 'assist_id': '170527', 'assist': 'Timo Werner'}]","[{'match_id': '3421776', 'scorrer_id': '183334', 'scorrer': 'Patrick Bamford', 'goal_type': 'Linksschuss', 'assist_id': '351749', 'assist': 'Kalvin Phillips'}]","[{'match_id': '3421776', 'player_in_id': '315779', 'player_in': 'Christian Pulisic', 'player_out_id': '217111', 'player_out': 'Hakim Ziyech'}, {'match_id': '3421776', 'player_in_id': '51471', 'player_in': 'Mateo Kovacic', 'player_out_id': '309400', 'player_out': 'Kai Havertz'}, {'match_id': '3421776', 'player_in_id': '331726', 'player_in': 'Tammy Abraham', 'player_out_id': '82442', 'player_out': 'Olivier Giroud'}]","[{'match_id': '3421776', 'player_in_id': '246291', 'player_in': 'Diego Llorente', 'player_out_id': '328784', 'player_out': 'Robin Koch'}, {'match_id': '3421776', 'player_in_id': '392763', 'player_in': 'Ian Poveda', 'player_out_id': '417346', 'player_out': 'Jack Harrison'}, {'match_id': '3421776', 'player_in_id': '131505', 'player_in': 'Rodrigo', 'player_out_id': '129604', 'player_out': 'Ezgjan Alioski'}]",[],"[{'match_id': '3421776', 'player_id': '246291', 'player': 'Diego Llorente', 'card': 'yellow'}, {'match_id': '3421776', 'player_id': '411295', 'player': 'Raphinha', 'card': 'yellow'}]","{'home_total_shots': '23', 'away_total_shots': '8', 'home_shots_off_target': '7', 'away_shots_off_target': '4', 'home_shots_saved': '2', 'away_shots_saved': '7', 'home_corners': '8', 'away_corners': '4', 'home_freekicks': '9', 'away_freekicks': '12', 'home_fouls': '12', 'away_fouls': '9', 'home_offsides': '1', 'away_offsides': '4'}"
2003,3421781,984,873,West Bromwich Albion,Crystal Palace,1:5,11,06.12.20,"[{'match_id': '3421781', 'scorrer_id': '488362', 'scorrer': 'Conor Gallagher', 'goal_type': 'Rechtsschuss', 'assist_id': '351755', 'assist': 'Darnell Furlong'}]","[{'match_id': '3421781', 'scorrer_id': '351755', 'scorrer': 'Darnell Furlong', 'goal_type': 'Eigentor', 'assist_id': None, 'assist': None}, {'match_id': '3421781', 'scorrer_id': '145988', 'scorrer': 'Wilfried Zaha', 'goal_type': 'Rechtsschuss', 'assist_id': '41416', 'assist': 'James McArthur'}, {'match_id': '3421781', 'scorrer_id': '50201', 'scorrer': 'Christian Benteke', 'goal_type': 'Kopfball', 'assist_id': '52119', 'assist': 'Patrick van Aanholt'}, {'match_id': '3421781', 'scorrer_id': '145988', 'scorrer': 'Wilfried Zaha', 'goal_type': 'Rechtsschuss', 'assist_id': '479999', 'assist': 'Eberechi Eze'}, {'match_id': '3421781', 'scorrer_id': '50201', 'scorrer': 'Christian Benteke', 'goal_type': 'Linksschuss', 'assist_id': '85177', 'assist': 'Nathaniel Clyne'}]","[{'match_id': '3421781', 'player_in_id': '261988', 'player_in': 'Filip Krovinovic', 'player_out_id': '342048', 'player_out': 'Grady Diangana'}, {'match_id': '3421781', 'player_in_id': '183299', 'player_in': 'Callum Robinson', 'player_out_id': '314183', 'player_out': 'Karlan Grant'}, {'match_id': '3421781', 'player_in_id': '401320', 'player_in': ""Dara O'Shea"", 'player_out_id': '113036', 'player_out': 'Romaine Sawyers'}]","[{'match_id': '3421781', 'player_in_id': '241481', 'player_in': 'Jairo Riedewald', 'player_out_id': '41416', 'player_out': 'James McArthur'}, {'match_id': '3421781', 'player_in_id': '108354', 'player_in': 'Jordan Ayew', 'player_out_id': '157506', 'player_out': 'Jeffrey Schlupp'}, {'match_id': '3421781', 'player_in_id': '179184', 'player_in': 'Michy Batshuayi', 'player_out_id': '145988', 'player_out': 'Wilfried Zaha'}]","[{'match_id': '3421781', 'player_id': '113036', 'player': 'Romaine Sawyers', 'card': 'yellow'}, {'match_id': '3421781', 'player_id': '225984', 'player': 'Matheus Pereira', 'card': 'red'}, {'match_id': '3421781', 'player_id': '488362', 'player': 'Conor Gallagher', 'card': 'yellow'}]","[{'match_id': '3421781', 'player_id': '41416', 'player': 'James McArthur', 'card': 'yellow'}, {'match_id': '3421781', 'player_id': '74300', 'player': 'Luka Milivojevic', 'card': 'yellow'}]","{'home_total_shots': '9', 'away_total_shots': '18', 'home_shots_off_target': '4', 'away_shots_off_target': '5', 'home_shots_saved': '2', 'away_shots_saved': '3', 'home_corners': '4', 'away_corners': '6', 'home_freekicks': '16', 'away_freekicks': '10', 'home_fouls': '10', 'away_fouls': '16', 'home_offsides': '2', 'away_offsides': '3'}"
2005,3421780,148,11,Tottenham Hotspur,FC Arsenal,2:0,11,06.12.20,"[{'match_id': '3421780', 'scorrer_id': '91845', 'scorrer': 'Heung-min Son', 'goal_type': 'Rechtsschuss', 'assist_id': '132098', 'assist': 'Harry Kane'}, {'match_id': '3421780', 'scorrer_id': '132098', 'scorrer': 'Harry Kane', 'goal_type': 'Kontertor', 'assist_id': '91845', 'assist': 'Heung-min Son'}]",[],"[{'match_id': '3421780', 'player_in_id': '192765', 'player_in': 'Ben Davies', 'player_out_id': '348795', 'player_out': 'Giovani Lo Celso'}, {'match_id': '3421780', 'player_in_id': '77100', 'player_in': 'Lucas Moura', 'player_out_id': '91845', 'player_out': 'Heung-min Son'}, {'match_id': '3421780', 'player_in_id': '297212', 'player_in': 'Joe Rodon', 'player_out_id': '284165', 'player_out': 'Steven Bergwijn'}]","[{'match_id': '3421780', 'player_in_id': '319745', 'player_in': 'Dani Ceballos', 'player_out_id': '230784', 'player_out': 'Thomas Partey'}, {'match_id': '3421780', 'player_in_id': '340324', 'player_in': 'Eddie Nketiah', 'player_out_id': '191217', 'player_out': 'Héctor Bellerín'}]","[{'match_id': '3421780', 'player_id': '348795', 'player': 'Giovani Lo Celso', 'card': 'yellow'}]","[{'match_id': '3421780', 'player_id': '111455', 'player': 'Granit Xhaka', 'card': 'yellow'}, {'match_id': '3421780', 'player_id': '93720', 'player': 'Alexandre Lacazette', 'card': 'yellow'}]","{'home_total_shots': '6', 'away_total_shots': '11', 'home_shots_off_target': '2', 'away_shots_off_target': '6', 'home_shots_saved': '2', 'away_shots_saved': '1', 'home_corners': '3', 'away_corners': '9', 'home_freekicks': '12', 'away_freekicks': '15', 'home_fouls': '16', 'away_fouls': '12', 'home_offsides': '0', 'away_offsides': '0'}"
2007,3421774,1237,180,Brighton & Hove Albion,FC Southampton,1:2,11,07.12.20,"[{'match_id': '3421774', 'scorrer_id': '82873', 'scorrer': 'Pascal Groß', 'goal_type': 'Elfmeter', 'assist_id': '181579', 'assist': 'James Ward-Prowse'}]","[{'match_id': '3421774', 'scorrer_id': '99331', 'scorrer': 'Jannik Vestergaard', 'goal_type': 'Kopfball', 'assist_id': '181579', 'assist': 'James Ward-Prowse'}, {'match_id': '3421774', 'scorrer_id': '134294', 'scorrer': 'Danny Ings', 'goal_type': 'Elfmeter', 'assist_id': '341051', 'assist': 'Kyle Walker-Peters'}]","[{'match_id': '3421774', 'player_in_id': '217115', 'player_in': 'Neal Maupay', 'player_out_id': '434207', 'player_out': 'Aaron Connolly'}, {'match_id': '3421774', 'player_in_id': '213268', 'player_in': 'Alireza Jahanbakhsh', 'player_out_id': '335721', 'player_out': 'Ben White'}, {'match_id': '3421774', 'player_in_id': '144028', 'player_in': 'Leandro Trossard', 'player_out_id': '67063', 'player_out': 'Danny Welbeck'}]","[{'match_id': '3421774', 'player_in_id': '134294', 'player_in': 'Danny Ings', 'player_out_id': '485424', 'player_out': 'Moussa Djenepo'}, {'match_id': '3421774', 'player_in_id': '129078', 'player_in': 'Nathan Redmond', 'player_out_id': '33713', 'player_out': 'Theo Walcott'}]","[{'match_id': '3421774', 'player_id': '148153', 'player': 'Lewis Dunk', 'card': 'yellow'}, {'match_id': '3421774', 'player_id': '82873', 'player': 'Pascal Groß', 'card': 'yellow'}, {'match_id': '3421774', 'player_id': '410425', 'player': 'Yves Bissouma', 'card': 'yellow'}]","[{'match_id': '3421774', 'player_id': '485424', 'player': 'Moussa Djenepo', 'card': 'yellow'}, {'match_id': '3421774', 'player_id': '66100', 'player': 'Oriol Romeu', 'card': 'yellow'}, {'match_id': '3421774', 'player_id': '95976', 'player': 'Alex McCarthy', 'card': 'yellow'}]","{'home_total_shots': '12', 'away_total_shots': '10', 'home_shots_off_target': '8', 'away_shots_off_target': '4', 'home_shots_saved': '1', 'away_shots_saved': '3', 'home_corners': '4', 'away_corners': '3', 'home_freekicks': '11', 'away_freekicks': '12', 'home_fouls': '12', 'away_fouls': '12', 'home_offsides': '2', 'away_offsides': '3'}"
2008,3421773,405,762,Aston Villa,Newcastle United,2:0,11,23.01.21,"[{'match_id': '3421773', 'scorrer_id': '324358', 'scorrer': 'Ollie Watkins', 'goal_type': 'Kopfball', 'assist_id': None, 'assist': None}, {'match_id': '3421773', 'scorrer_id': '131996', 'scorrer': 'Bertrand Traoré', 'goal_type': 'Rechtsschuss', 'assist_id': '203460', 'assist': 'Jack Grealish'}]",[],"[{'match_id': '3421773', 'player_in_id': '183720', 'player_in': 'Anwar El Ghazi', 'player_out_id': '131978', 'player_out': 'Ross Barkley'}, {'match_id': '3421773', 'player_in_id': '234189', 'player_in': 'Mahmoud Trezeguet', 'player_out_id': '131996', 'player_out': 'Bertrand Traoré'}, {'match_id': '3421773', 'player_in_id': '503749', 'player_in': 'Jacob Ramsey', 'player_out_id': '203460', 'player_out': 'Jack Grealish'}]","[{'match_id': '3421773', 'player_in_id': '146795', 'player_in': 'Ryan Fraser', 'player_out_id': '48066', 'player_out': 'Andy Carroll'}, {'match_id': '3421773', 'player_in_id': '272642', 'player_in': 'Allan Saint-Maximin', 'player_out_id': '162029', 'player_out': 'Javier Manquillo'}, {'match_id': '3421773', 'player_in_id': '196522', 'player_in': 'Dwight Gayle', 'player_out_id': '272999', 'player_out': 'Miguel Almirón'}]",[],"[{'match_id': '3421773', 'player_id': '135343', 'player': 'Fabian Schär', 'card': 'yellow'}, {'match_id': '3421773', 'player_id': '48066', 'player': 'Andy Carroll', 'card': 'yellow'}, {'match_id': '3421773', 'player_id': '183318', 'player': 'Jamaal Lascelles', 'card': 'yellow'}]","{'home_total_shots': '14', 'away_total_shots': '7', 'home_shots_off_target': '6', 'away_shots_off_target': '4', 'home_shots_saved': '1', 'away_shots_saved': '3', 'home_corners': '4', 'away_corners': '4', 'home_freekicks': '18', 'away_freekicks': '9', 'home_fouls': '9', 'away_fouls': '18', 'home_offsides': '1', 'away_offsides': '2'}"
2009,3421787,399,379,Leeds United,West Ham United,1:2,12,11.12.20,"[{'match_id': '3421787', 'scorrer_id': '92738', 'scorrer': 'Mateusz Klich', 'goal_type': 'Elfmeter', 'assist_id': '183334', 'assist': 'Patrick Bamford'}]","[{'match_id': '3421787', 'scorrer_id': '283628', 'scorrer': 'Tomas Soucek', 'goal_type': 'Kopfball', 'assist_id': '314875', 'assist': 'Jarrod Bowen'}, {'match_id': '3421787', 'scorrer_id': '48002', 'scorrer': 'Angelo Ogbonna', 'goal_type': 'Kopfball', 'assist_id': '92571', 'assist': 'Aaron Cresswell'}]","[{'match_id': '3421787', 'player_in_id': '173900', 'player_in': 'Hélder Costa', 'player_out_id': '417346', 'player_out': 'Jack Harrison'}, {'match_id': '3421787', 'player_in_id': '534700', 'player_in': 'Jamie Shackleton', 'player_out_id': '129604', 'player_out': 'Ezgjan Alioski'}, {'match_id': '3421787', 'player_in_id': '296986', 'player_in': 'Tyler Roberts', 'player_out_id': '183334', 'player_out': 'Patrick Bamford'}]","[{'match_id': '3421787', 'player_in_id': '31835', 'player_in': 'Mark Noble', 'player_out_id': '290532', 'player_out': 'Saïd Benrahma'}, {'match_id': '3421787', 'player_in_id': '468002', 'player_in': 'Ben Johnson', 'player_out_id': '314875', 'player_out': 'Jarrod Bowen'}, {'match_id': '3421787', 'player_in_id': '22614', 'player_in': 'Robert Snodgrass', 'player_out_id': '357885', 'player_out': 'Pablo Fornals'}]","[{'match_id': '3421787', 'player_id': '129604', 'player': 'Ezgjan Alioski', 'card': 'yellow'}]","[{'match_id': '3421787', 'player_id': '29692', 'player': 'Lukasz Fabianski', 'card': 'yellow'}, {'match_id': '3421787', 'player_id': '31835', 'player': 'Mark Noble', 'card': 'yellow'}]","{'home_total_shots': '13', 'away_total_shots': '19', 'home_shots_off_target': '5', 'away_shots_off_target': '8', 'home_shots_saved': '6', 'away_shots_saved': '6', 'home_corners': '5', 'away_corners': '6', 'home_freekicks': '9', 'away_freekicks': '12', 'home_fouls': '12', 'away_fouls': '10', 'home_offsides': '2', 'away_offsides': '0'}"
2010,3421792,543,405,Wolverhampton Wanderers,Aston Villa,0:1,12,12.12.20,[],"[{'match_id': '3421792', 'scorrer_id': '183720', 'scorrer': 'Anwar El Ghazi', 'goal_type': 'Elfmeter', 'assist_id': '193116', 'assist': 'John McGinn'}]","[{'match_id': '3421792', 'player_in_id': '225161', 'player_in': 'Rúben Neves', 'player_out_id': '168157', 'player_out': 'Leander Dendoncker'}]","[{'match_id': '3421792', 'player_in_id': '183720', 'player_in': 'Anwar El Ghazi', 'player_out_id': '131996', 'player_out': 'Bertrand Traoré'}, {'match_id': '3421792', 'player_in_id': '324882', 'player_in': 'Marvelous Nakamba', 'player_out_id': '503749', 'player_out': 'Jacob Ramsey'}]","[{'match_id': '3421792', 'player_id': '204103', 'player': 'Adama Traoré', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '168157', 'player': 'Leander Dendoncker', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '29364', 'player': 'João Moutinho', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '29364', 'player': 'João Moutinho', 'card': 'yellow-red'}]","[{'match_id': '3421792', 'player_id': '447661', 'player': 'Douglas Luiz', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '425334', 'player': 'Matty Cash', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '193116', 'player': 'John McGinn', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '250478', 'player': 'Matt Targett', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '413403', 'player': 'Ezri Konsa', 'card': 'yellow'}, {'match_id': '3421792', 'player_id': '447661', 'player': 'Douglas Luiz', 'card': 'yellow-red'}, {'match_id': '3421792', 'player_id': '203460', 'player': 'Jack Grealish', 'card': 'yellow'}]","{'home_total_shots': '16', 'away_total_shots': '13', 'home_shots_off_target': '4', 'away_shots_off_target': '6', 'home_shots_saved': '1', 'away_shots_saved': '7', 'home_corners': '5', 'away_corners': '8', 'home_freekicks': '14', 'away_freekicks': '21', 'home_fouls': '23', 'away_fouls': '15', 'home_offsides': '0', 'away_offsides': '2'}"
2000,3421778,281,931,Manchester City,FC Fulham,2:0,11,05.12.20,"[{'match_id': '3421778', 'scorrer_id': '134425', 'scorrer': 'Raheem Sterling', 'goal_type': 'Rechtsschuss', 'assist_id': '88755', 'assist': 'Kevin De Bruyne'}, {'match_id': '3421778', 'scorrer_id': '88755', 'scorrer': 'Kevin De Bruyne', 'goal_type': 'Elfmeter', 'assist_id': '134425', 'assist': 'Raheem Sterling'}]",[],[],"[{'match_id': '3421778', 'player_in_id': '170934', 'player_in': 'Mario Lemina', 'player_out_id': '226973', 'player_out': 'Harrison Reed'}, {'match_id': '3421778', 'player_in_id': '290951', 'player_in': 'Aboubakar Kamara', 'player_out_id': '186186', 'player_out': 'Bobby De Cordova-Reid'}, {'match_id': '3421778', 'player_in_id': '123275', 'player_in': 'Tom Cairney', 'player_out_id': '202886', 'player_out': 'Ruben Loftus-Cheek'}]",[],[],"{'home_total_shots': '16', 'away_total_shots': '6', 'home_shots_off_target': '8', 'away_shots_off_target': '4', 'home_shots_saved': '1', 'away_shots_saved': '4', 'home_corners': '9', 'away_corners': '3', 'home_freekicks': '5', 'away_freekicks': '7', 'home_fouls': '7', 'away_fouls': '6', 'home_offsides': '1', 'away_offsides': '1'}"
2013,3421785,29,631,FC Everton,FC Chelsea,1:0,12,12.12.20,"[{'match_id': '3421785', 'scorrer_id': '90466', 'scorrer': 'Gylfi Sigurdsson', 'goal_type': 'Elfmeter', 'assist_id': '306024', 'assist': 'Dominic Calvert-Lewin'}]",[],"[{'match_id': '3421785', 'player_in_id': '221025', 'player_in': 'André Gomes', 'player_out_id': '90466', 'player_out': 'Gylfi Sigurdsson'}, {'match_id': '3421785', 'player_in_id': '314210', 'player_in': 'Tom Davies', 'player_out_id': '242631', 'player_out': 'Alex Iwobi'}, {'match_id': '3421785', 'player_in_id': '258883', 'player_in': 'Jonjoe Kenny', 'player_out_id': '378710', 'player_out': 'Richarlison'}]","[{'match_id': '3421785', 'player_in_id': '331726', 'player_in': 'Tammy Abraham', 'player_out_id': '309400', 'player_out': 'Kai Havertz'}, {'match_id': '3421785', 'player_in_id': '423744', 'player_in': 'Billy Gilmour', 'player_out_id': '51471', 'player_out': 'Mateo Kovacic'}]","[{'match_id': '3421785', 'player_id': '378710', 'player': 'Richarlison', 'card': 'yellow'}, {'match_id': '3421785', 'player_id': '127187', 'player': 'Abdoulaye Doucouré', 'card': 'yellow'}]","[{'match_id': '3421785', 'player_id': '225083', 'player': ""N'Golo Kanté"", 'card': 'yellow'}, {'match_id': '3421785', 'player_id': '472423', 'player': 'Reece James', 'card': 'yellow'}, {'match_id': '3421785', 'player_id': '29241', 'player': 'Thiago Silva', 'card': 'yellow'}]","{'home_total_shots': '9', 'away_total_shots': '10', 'home_shots_off_target': '3', 'away_shots_off_target': '4', 'home_shots_saved': '3', 'away_shots_saved': '3', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '11', 'away_freekicks': '9', 'home_fouls': '10', 'away_fouls': '11', 'home_offsides': '4', 'away_offsides': '1'}"
