player_id,player_name,date_of_birth,height,citizenship,foot
39152,Falcao,508365000,177,Kolumbien,FootType.right
37579,Pato,620685000,180,Brasilien,FootType.right
183334,Bamford,747174600,185,England,FootType.left
102226,Hazard,733350600,175,Belgien,FootType.right
196948,Christensen,829081800,187,Dänemark,FootType.right
294798,Nathan,826662600,177,Brasilien,FootType.right
181779,Wallace Oliveira,767737800,175,Brasilien,FootType.right
59866,Moses,660947400,177,Nigeria,FootType.right
281404,Kenedy,823725000,182,Brasilien,FootType.left
157490,Hector,711491400,193,Jamaika,FootType.right
186863,Cuevas,796768200,175,Chile,FootType.left
245893,Miazga,806099400,193,Vereinigte Staaten,FootType.right
108820,Dávila,671488200,172,Mexiko,FootType.left
222830,Pantic,846275400,183,Serbien,FootType.right
224884,Baba,773094600,179,Ghana,FootType.left
33873,Begovic,551133000,199,Bosnien-Herzegowina,FootType.right
136610,Djilobodji,596925000,193,Senegal,FootType.left
35251,Marin,605737800,170,Deutschland,FootType.right
65278,Pedro,554416200,167,Spanien,FootType.both
16810,Amelia,386541000,190,Italien,FootType.right
66100,Romeu,685657800,183,Spanien,FootType.right
148455,Mohamed Salah,708553800,175,Ägypten,FootType.left
186997,Atsu,694989000,165,Ghana,FootType.left
176485,Lucas Piazon,759011400,182,Brasilien,FootType.right
54170,Ramires,543529800,179,Brasilien,FootType.right
21725,Filipe Luís,492381000,182,Brasilien,FootType.left
177476,Aké,793053000,180,Niederlande,FootType.left
3924,Drogba,258409800,189,Elfenbeinküste,FootType.both
205938,Pasalic,792275400,188,Kroatien,FootType.right
128900,Chalobah,787177800,185,England,FootType.right
131996,Traoré,810333000,181,Burkina Faso,FootType.left
198589,Baker,798755400,182,England,FootType.right
91970,Cuadrado,580595400,176,Kolumbien,FootType.right
128905,McEachran,730931400,178,England,FootType.left
5658,Cech,390688200,196,Tschechien,FootType.left
148657,Kalas,737411400,184,Tschechien,FootType.right
128898,Blackman,751667400,199,England,FootType.right
60220,Delac,714256200,190,Kroatien,FootType.right
74297,Kakuta,677449800,173,DR Kongo,FootType.left
147034,van Ginkel,723155400,186,Niederlande,FootType.right
88755,De Bruyne,678054600,181,Belgien,FootType.right
54781,Otamendi,571609800,183,Argentinien,FootType.right
226739,Cáceres,717712200,173,Australien,FootType.right
182579,Rekik,786313800,186,Niederlande,FootType.left
85383,Sobrino,707344200,185,Spanien,FootType.right
114365,Brattan,636841800,175,Australien,FootType.right
134425,Sterling,786832200,170,England,FootType.right
50362,Delph,627597000,174,England,FootType.left
251106,Ünal,863209800,187,Türkei,FootType.right
127108,Lejeune,674685000,190,Frankreich,FootType.right
32617,Richards,583101000,180,England,FootType.right
18644,Negredo,493331400,186,Spanien,FootType.left
143559,Nastasic,733264200,188,Serbien,FootType.left
174694,Lopes,820096200,174,Portugal,FootType.left
154287,Kane,748211400,180,England,FootType.right
225452,Roberts,855088200,167,England,FootType.left
295330,Iheanacho,844288200,185,Nigeria,FootType.left
31552,Sinclair,606774600,177,England,FootType.right
131708,Omeruo,750803400,185,Nigeria,FootType.right
115507,Zuculini,733696200,182,Argentinien,FootType.right
28396,Dzeko,511389000,193,Bosnien-Herzegowina,FootType.right
195605,Pozo,826835400,171,Spanien,FootType.left
242631,Iwobi,831069000,183,Nigeria,FootType.right
197642,Akpom,813184200,186,England,FootType.right
384807,Agyepong,844893000,168,Ghana,FootType.right
3333,Milner,505168200,175,England,FootType.right
121990,Wellington Silva,726265800,170,Brasilien,FootType.right
277114,Denayer,804285000,184,Belgien,FootType.right
46104,Jovetic,625955400,183,Montenegro,FootType.right
186292,Drury,747520200,179,England,FootType.right
160438,Elneny,710800200,179,Ägypten,FootType.right
127194,Sanogo,728080200,194,Frankreich,FootType.right
126321,Jenkinson,697494600,185,England,FootType.right
98596,Guidetti,703283400,185,Schweden,FootType.right
131248,Campbell,709504200,178,Costa Rica,FootType.left
3163,Lampard,267136200,184,England,FootType.right
88262,Boyata,659737800,188,Belgien,FootType.right
159471,Gnabry,805667400,176,Deutschland,FootType.right
111873,Martínez,715379400,195,Argentinien,FootType.right
220491,Macey,779056200,201,England,FootType.right
188862,Varela,732918600,173,Uruguay,FootType.right
26763,Diaby,516141000,191,Frankreich,FootType.right
27306,Debuchy,491344200,177,Frankreich,FootType.right
182877,Martial,818109000,181,Frankreich,FootType.right
258879,Borthwick-Jackson,854829000,189,England,FootType.left
30690,Romero,540937800,192,Argentinien,FootType.right
315131,Fosu-Mensah,883686600,185,Niederlande,FootType.right
129688,Miyaichi,724278600,181,Japan,FootType.right
251912,Ajayi,752790600,193,Nigeria,FootType.right
203394,Pereira,820441800,178,Brasilien,FootType.right
167850,Depay,761085000,178,Niederlande,FootType.right
7589,Valdés,379801800,183,Spanien,FootType.right
110864,Johnstone,733005000,193,England,FootType.right
134424,Powell,764368200,183,England,FootType.both
15185,Podolski,486678600,182,Deutschland,FootType.left
56818,Schneiderlin,626473800,186,Frankreich,FootType.right
54906,Darmian,628547400,183,Italien,FootType.right
258923,Rashford,878243400,185,England,FootType.right
44058,Szczesny,640384200,196,Polen,FootType.right
2514,Schweinsteiger,460153800,0,Deutschland,FootType.right
128911,Thorpe,726870600,188,England,FootType.right
241119,N'Jie,745360200,175,Kamerun,FootType.right
42710,Alderweireld,604787400,187,Belgien,FootType.right
45320,Di María,571782600,180,Argentinien,FootType.left
50935,Chicharito,581113800,175,Mexiko,FootType.right
177847,Januzaj,791929800,186,Belgien,FootType.left
73472,Amos,639693000,193,England,FootType.right
214104,Wilson,817763400,183,England,FootType.left
122675,Wimmer,721773000,187,Österreich,FootType.left
189740,Henríquez,766182600,175,Chile,FootType.right
257474,Milinković-Savić,856384200,202,Serbien,FootType.right
33706,Nani,532557000,177,Portugal,FootType.both
134414,Blackett,765232200,183,England,FootType.left
61892,Rafael,647469000,172,Brasilien,FootType.right
42412,Evans,568153800,188,Nordirland,FootType.both
4380,van Persie,428963400,183,Niederlande,FootType.left
73484,Cleverley,618870600,175,England,FootType.right
118535,Keane,726697800,188,Irland,FootType.right
91845,Son,710541000,184,Südkorea,FootType.both
