team_id,team_name
631,FC Chelsea
281,Manchester City
11,FC Arsenal
985,Manchester United
148,Tottenham Hotspur
31,FC Liverpool
180,FC Southampton
2288,Swansea City
512,Stoke City
873,Crystal Palace
29,FC Everton
379,West Ham United
984,West Bromwich Albion
1003,Leicester City
762,Newcastle United
289,AFC Sunderland
405,Aston Villa
989,AFC Bournemouth
1010,FC Watford
1123,Norwich City
1003,Leicester City
11,FC Arsenal
148,Tottenham Hotspur
281,Manchester City
985,Manchester United
180,FC Southampton
379,West Ham United
31,FC Liverpool
512,Stoke City
631,FC Chelsea
29,FC Everton
2288,Swansea City
1010,FC Watford
984,West Bromwich Albion
873,Crystal Palace
989,AFC Bournemouth
289,AFC Sunderland
1132,FC Burnley
641,FC Middlesbrough
3008,Hull City
631,FC Chelsea
148,Tottenham Hotspur
281,Manchester City
31,FC Liverpool
11,FC Arsenal
985,Manchester United
29,FC Everton
180,FC Southampton
989,AFC Bournemouth
984,West Bromwich Albion
379,West Ham United
1003,Leicester City
512,Stoke City
873,Crystal Palace
2288,Swansea City
1132,FC Burnley
1010,FC Watford
762,Newcastle United
1237,Brighton & Hove Albion
1110,Huddersfield Town
281,Manchester City
985,Manchester United
148,Tottenham Hotspur
31,FC Liverpool
631,FC Chelsea
11,FC Arsenal
1132,FC Burnley
29,FC Everton
1003,Leicester City
762,Newcastle United
873,Crystal Palace
989,AFC Bournemouth
379,West Ham United
1010,FC Watford
1237,Brighton & Hove Albion
1110,Huddersfield Town
180,FC Southampton
543,Wolverhampton Wanderers
603,Cardiff City
931,FC Fulham
281,Manchester City
31,FC Liverpool
631,FC Chelsea
148,Tottenham Hotspur
11,FC Arsenal
985,Manchester United
543,Wolverhampton Wanderers
29,FC Everton
1003,Leicester City
379,West Ham United
1010,FC Watford
873,Crystal Palace
762,Newcastle United
989,AFC Bournemouth
1132,FC Burnley
180,FC Southampton
1237,Brighton & Hove Albion
1123,Norwich City
350,Sheffield United
405,Aston Villa
11,FC Arsenal
405,Aston Villa
1237,Brighton & Hove Albion
1132,FC Burnley
631,FC Chelsea
873,Crystal Palace
29,FC Everton
931,FC Fulham
399,Leeds United
1003,Leicester City
31,FC Liverpool
281,Manchester City
985,Manchester United
762,Newcastle United
350,Sheffield United
180,FC Southampton
148,Tottenham Hotspur
984,West Bromwich Albion
379,West Ham United
543,Wolverhampton Wanderers
11,FC Arsenal
405,Aston Villa
1148,FC Brentford
1237,Brighton & Hove Albion
1132,FC Burnley
631,FC Chelsea
873,Crystal Palace
29,FC Everton
399,Leeds United
1003,Leicester City
31,FC Liverpool
281,Manchester City
985,Manchester United
762,Newcastle United
1123,Norwich City
180,FC Southampton
148,Tottenham Hotspur
1010,FC Watford
379,West Ham United
543,Wolverhampton Wanderers
131,FC Barcelona
418,Real Madrid
13,Atlético Madrid
1049,FC Valencia
368,FC Sevilla
1050,FC Villarreal
